reviewId,content_raw,topic_label,barrier_category,calibrated_confidence,probability_negative
e293353c-a6ca-459c-902c-9ed70102d640,"Aplikasi nya jelek masa disuruh update terus, padahal udah di-update berkali-kali tetap gak bisa dipake, kecewa banget mending gak usah dirilis deh gak guna ...",Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9889,0.9889
60cd6808-d12c-433e-96e3-3e2c50ccc97c,"Update ga guna, malah aneh semua. Ada yang salah jawaban dibetuli, bener disalahi. Mau masuk loading lama, ngechat WA mau tanya "" Eh Dikacangin!!. Kecewa parah",Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9848,0.9848
5fc7378b-d205-44c2-92af-d92085eca0a7,"aplikasi jelek, ga bisa loginn malah minta di perbatui trus GAK KEPAKEE!!",Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9843,0.9843
1340af46-ff9a-4fc8-a2c1-e5c453183b19,"aplikasi jelek, ribet",Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9762,0.9762
b6320ba2-a926-4575-851f-a0f53cf45c9a,udah isi nomer hp malah katanya tidak valid aplikasi tidak becus,Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9751,0.9751
6917fb64-9bae-45b4-9f2d-332a79c79ad1,"Aplikasi ga guna, login aja kaga bisa... Malah erorr !!",Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9727,0.9727
25e5540d-2170-44e6-ba05-3449c1c98741,Aplikasi kok gak bisa login gak jelas,Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9724,0.9724
41473895-b2bc-4ed6-8cb9-ecc565cf4a38,"Aplikasi ngga bisa login,kata sandi salah melulu😡,padahal butuh banget buat ngerjain tugas",Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9714,0.9714
65155ae0-5fd9-4a0b-b6cd-3003b81862b1,Aplikasi gk jelas,Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9712,0.9712
41bbb7f6-ef9c-4cc6-ab2e-b13b92cb53e4,Aplikasi ga jelas!,Topic 1: Learning Comprehension & Clarity,TB-1 Cognitive Difficulty,0.9712,0.9712
b2743ba7-6308-4ed5-8cdd-6869d2c48514,Setelah update malah tidak bisa membuka Vidio pembelajaran dan saya terpaksa menggunakan website. Tolong segera diperbaiki bug nya,Topic 4: Learner Motivation & Engagement,TB-2 Engagement & Motivation Problem,0.9348,0.9348
725b0231-ae09-404c-9a9e-1c0a1a5ccb05,"banyak bug, banyak terjadi kesalahan pengetikan soal dan jawaban, kadang soal dan jawabannya gak nyambung, pembahasannya pun kadang nyeleneh, tolong perbaiki ini! udah bayar mahal² malah dikasih pelayanan yang gak memuaskan",Topic 4: Learner Motivation & Engagement,TB-2 Engagement & Motivation Problem,0.9217,0.9217
cdf46af8-6e7b-4e8b-9988-0a8dd3ce84e4,"apk gaje, tiap ngerjain TO pasti selalu ngebug di salah satu subtest. waktu mau kumpul jawaban udah tertera jawaban DIKERJAKAN 20/20, waktu beralih ke subtest lain tiba"" ngefreeze di 1 soal dan gabisa pindah, waktu coba relog malah subtest yang tadi udah kekumpul cuma 4/20 DIKERJAKAN. kesel sih rasanya udah beli TO tapi hasilnya jeblok karena 1 subtest doang wkwk.",Topic 4: Learner Motivation & Engagement,TB-2 Engagement & Motivation Problem,0.9207,0.9207
17c73215-97c9-4fe7-b7c4-bbf93a98367d,"APK GAJELAS, JAWABAN UDH BENER MALAH DIGANTI DENGAN JAWABAN YANG SALAH DARI APK NYA",Topic 4: Learner Motivation & Engagement,TB-2 Engagement & Motivation Problem,0.9161,0.9161
a65c12ab-1a3a-49e7-ad3e-80c1c27e6574,"ga bisa login,kata sandi dan email salah padahal email dan sandinya sudah betul..pakek fb dan googelpun tidak bisa.",Topic 7: Authentication & System Access Errors,TB-4 System Usability Issues,0.9157,0.9157
